event_id,event_date,event_title,country_name,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count
1929,05/31/2010 11:00:00 PM,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",India,Sikkim,27.3543,88.6428,landslide,downpour,medium,0.0,
2568,10/08/2010 12:00:00 AM,"Nungba, Tamenglong, Manipur",India,Assam,24.7679,93.4108,landslide,downpour,medium,0.0,
7409,08/02/2015 12:00:00 AM,Meluri Sub-Division in Phek District of Nagaland,India,Nagaland,25.72,94.6219,landslide,continuous_rain,medium,0.0,0.0
9219,07/26/2016 11:00:00 PM,"Zunheboto, Nagaland, India",India,Nagaland,26.0101,94.5282,landslide,downpour,medium,0.0,0.0
8223,09/14/2015 03:10:00 AM,"Aizawl, Mizoram, India",India,Mizoram,23.7348,92.7187,landslide,downpour,large,0.0,0.0
7336,08/19/2015 09:00:00 AM,NH-62 at Sibbari,India,Meghalaya,25.2193,90.5549,landslide,continuous_rain,medium,0.0,0.0
9252,07/28/2016 12:00:00 AM,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",India,Arunachal Pradesh,27.5748,91.8644,landslide,monsoon,medium,0.0,0.0
7665,08/11/2015 12:00:00 AM,Khoupum,India,Manipur,24.7016,93.5291,landslide,continuous_rain,medium,0.0,0.0
1994,06/16/2010 12:00:00 AM,"rails between Jatinga and Longrangjao(?), Assam",India,Assam,25.0633,92.8025,landslide,downpour,medium,0.0,
7374,08/01/2015 12:00:00 AM,Ukhrul town Circular road from Rayotang to Viewland Zone II,India,Manipur,25.1122,94.3591,landslide,continuous_rain,medium,0.0,0.0
4446,07/05/2012 12:00:00 AM,"Tuting, Upper Siang , Arunachal Pradesh",India,Arunachal Pradesh,28.9986,94.8885,landslide,downpour,large,,
269,09/18/2007 12:00:00 AM,Geyzing-Jorethang road and Naya Bazar-Legship road,India,Sikkim,27.2872,88.2816,landslide,rain,medium,,
2205,08/06/2010 12:00:00 AM,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",India,Mizoram,23.7365,92.7146,landslide,downpour,medium,0.0,
4610,11/11/2012 12:00:00 AM,"Dapchhuah, Mamit, Mizoram",India,Mizoram,23.7705,92.5217,landslide,downpour,medium,4.0,
6112,06/28/2014 09:00:00 AM,"Kharghuli Hills, Assam",India,Assam,26.1964,91.7652,landslide,rain,medium,0.0,0.0
7390,08/01/2015 12:00:00 AM,between Tengnoupal-Sita junction and Tengnoupal Power Sub-Station,India,Manipur,24.4265,94.1913,landslide,continuous_rain,medium,0.0,0.0
2420,09/13/2010 12:00:00 AM,"Tuikual 'C', Aizawl, Mizoram",India,Mizoram,23.72988966,92.71495623,landslide,downpour,medium,1.0,
264,09/13/2007 12:00:00 AM,Guwahati,India,Assam,26.1833,91.8,landslide,rain,medium,,
251,09/09/2007 12:00:00 AM,Hingdam village in South Sikkim,India,Sikkim,27.1667,88.35,landslide,rain,medium,1.0,
6214,10/05/2014 05:45:00 PM,Jorabat-Umiam route,India,Meghalaya,25.9702,91.8587,landslide,rain,medium,1.0,0.0
4411,06/14/2012 04:00:00 AM,"Tathangchen, Gangtok, Sikkim ",India,Sikkim,27.339,88.6065,landslide,downpour,medium,,
7384,08/01/2015 12:00:00 AM,"Wayang, Khengjoi",India,Manipur,23.9278,94.0906,landslide,rain,medium,0.0,0.0
211,08/26/2007 12:00:00 AM,Tamenglong,India,Manipur,24.9667,93.55,mudslide,continuous_rain,medium,1.0,
